,Unnamed: 0,FileName,XMin,XMax,YMin,YMax,ClassName
0,0,0001d44d735c814c.jpg,0.003125,0.76875,0.111285,0.996865,Car
1,1,000f52302c1341eb.jpg,0.336875,0.471875,0.722326,0.7823640000000001,Vehicle registration plate
2,2,000f52302c1341eb.jpg,0.0,0.63125,0.222326,0.991557,Car
3,3,001065dbc46c29c8.jpg,0.151875,0.198125,0.622494,0.6570159999999999,Vehicle registration plate
4,4,0010f4c10f7ab07e.jpg,0.424375,0.465625,0.6875,0.715,Vehicle registration plate
5,5,0011d11a6a5ab5ad.jpg,0.45625,0.529375,0.7953439999999999,0.817653,Vehicle registration plate
6,6,0016bd822c0a9511.jpg,0.616875,0.745625,0.4975,0.61,Vehicle registration plate
7,7,0018e004f5cac5e0.jpg,0.0,0.068125,0.378987,0.622889,Vehicle registration plate
8,8,0018e004f5cac5e0.jpg,0.0,0.9025,0.029081,0.999062,Car
9,9,001ca84e28488f7a.jpg,0.626875,0.685,0.420508,0.519285,Vehicle registration plate
10,10,001ca84e28488f7a.jpg,0.83,0.865625,0.35842,0.408278,Vehicle registration plate
11,11,001ca84e28488f7a.jpg,0.0,0.255,0.244591,0.431797,Car
12,12,001cbdc0e63953fa.jpg,0.0725,0.92125,0.4725,0.841667,Car
13,13,0023d0908e76c600.jpg,0.13,0.214375,0.724167,0.791667,Vehicle registration plate
14,14,002f860e692757f7.jpg,0.10375,0.390625,0.880863,0.973734,Vehicle registration plate
15,15,002f860e692757f7.jpg,0.0,0.06125,0.07410900000000001,0.335835,Car
16,16,002f860e692757f7.jpg,0.0,0.711875,0.095685,0.999062,Car
17,17,002f860e692757f7.jpg,0.021875,0.171875,0.07035599999999999,0.195122,Car
18,18,002f860e692757f7.jpg,0.168125,0.25375,0.07035599999999999,0.137899,Car
19,19,002f860e692757f7.jpg,0.2675,0.3525,0.064728,0.121951,Car
20,20,002f860e692757f7.jpg,0.4225,0.541875,0.050657,0.114447,Car
21,21,002f860e692757f7.jpg,0.61,0.6575,0.050657,0.092871,Car
22,22,002f860e692757f7.jpg,0.740625,0.96875,0.02439,0.167917,Car
23,23,002f860e692757f7.jpg,0.9625,0.999375,0.037523,0.20075,Car
24,24,003a9e99a2753141.jpg,0.0,0.0525,0.450132,0.484554,Vehicle registration plate
25,25,003a9e99a2753141.jpg,0.359375,0.636875,0.7519859999999999,0.8331860000000001,Vehicle registration plate
26,26,003a9e99a2753141.jpg,0.0,0.3275,0.248897,0.534863,Car
27,27,003a9e99a2753141.jpg,0.101875,0.906875,0.080318,0.946161,Car
28,28,0043ea91600e3cb8.jpg,0.804167,0.90625,0.629687,0.669531,Vehicle registration plate
29,29,0043ea91600e3cb8.jpg,0.623958,0.998958,0.510156,0.799219,Car
30,30,0043ea91600e3cb8.jpg,0.933333,0.998958,0.446875,0.4914060000000001,Car
31,31,0044535b6c092973.jpg,0.89125,0.96,0.755,0.793333,Vehicle registration plate
32,32,0044535b6c092973.jpg,0.0,0.99875,0.56,0.998333,Car
33,33,00492e9dbaf3c2a1.jpg,0.086875,0.20375,0.615942,0.7028989999999999,Vehicle registration plate
34,34,00492e9dbaf3c2a1.jpg,0.963125,0.999375,0.345411,0.364734,Vehicle registration plate
35,35,00492e9dbaf3c2a1.jpg,0.0,0.3775,0.071256,0.528986,Car
36,36,00492e9dbaf3c2a1.jpg,0.038125,0.959375,0.082126,0.932367,Car
